,subject,patch_type,environment,distribution,n_samples,raw_skewness,raw_skewness_p,raw_aic,raw_bic,raw_ks_p,raw_fitted_skewness,z_skewness,z_skewness_p,z_aic,z_bic,z_ks_p,z_fitted_skewness
1,1,Patch 3,Env 1,lognormal,6,-0.9026466490140602,,14.289765451935601,13.665043859619766,0.07257094703918643,5.247338425175074e+111,-0.9026466490140591,,-18.390564117408395,-19.015285709724232,0.0717073988968332,9.866359520405217e+127
4,1,Patch 2,Env 2,lognormal,5,-0.3916275837392985,,-2.4176800719750187,-3.589366334672718,0.13767636994985177,1.0664103883673359e+131,-0.3916275837393012,,11.582208122006977,10.410521859309277,0.9296914381311164,0.010675621460847357
7,1,Patch 1,Env 2,lognormal,7,0.17177919601209743,,10.523163852694303,10.360894299860242,0.06434511812770705,1.206093068815679e+96,0.17177919601209662,,9.97849292110995,9.816223368275889,0.7093139421092611,4.438111516973259
10,2,Patch 3,Env 1,lognormal,17,-0.30518792745317314,0.5206183250674763,87.85086615339705,90.3505061855657,0.7091227720187265,3.0750083321286606e-05,-0.30518792745317214,0.5206183250674778,45.975869054536524,48.47550908670517,0.7091739965277462,0.012751336947580356
13,2,Patch 3,Env 2,lognormal,7,0.2719205543768293,,6.8150808977296204,6.65281134489556,0.0721299645550717,1.33069660693605e+99,0.27192055437682816,,-3.0130079326160253,-3.175277485450086,0.15000816836089492,4.2607133730012594e+33
16,2,Patch 2,Env 1,lognormal,11,0.38276660195076523,0.48408547799924806,40.179461571223065,41.373147389618175,0.00557776559220835,7.982271254983154e+68,0.3827666019507631,0.4840854779992504,26.599092267572896,27.79277808596801,0.9494328055721482,1.3818585168027429
19,2,Patch 2,Env 2,lognormal,11,0.5891153025942515,0.2858546327179742,29.03018108894468,30.22386690733979,0.018634261773679106,2.90149961926596e+64,0.589115302594252,0.28585463271797384,20.726126628190045,21.919812446585155,0.84316162364294,5.1651684876180814
22,2,Patch 1,Env 1,lognormal,7,0.5876688125499301,,2.628023085645003,2.4657535328109423,0.0469291561067251,1.2199878808226291e+101,0.5876688125499299,,17.26115183527805,17.098882282443988,0.928044347708226,1.6777358938824762
25,2,Patch 1,Env 2,lognormal,17,0.4007294840654477,0.401586531685607,63.05081714237237,65.55045717454101,0.9132395484919846,0.42929818783478524,0.4007294840654431,0.401586531685612,21.153046310449785,23.652686342618434,0.9132353373428143,0.42929679491006006
28,3,Patch 3,Env 1,lognormal,15,-0.1293550471050709,0.7928621545953103,77.70041540502987,79.8245660083365,0.9281790142256812,6.070128984501316e-05,-0.12935504710507334,0.7928621545953062,28.225015887812766,30.349166491119398,0.9298621068816548,0.023177056765937884
31,3,Patch 2,Env 1,lognormal,7,-0.6442268689753013,,7.291920072811379,7.129650519977319,0.06312587960248628,6.653292811253269e+98,-0.644226868975301,,12.450717773632377,12.288448220798315,0.6701112000807634,0.007631439840316192
34,3,Patch 2,Env 2,lognormal,7,0.6626680352189346,,-2.880870899783698,-3.0431404526177586,0.04549158518345375,9.882013524780654e+89,0.662668035218939,,-31.10776526694898,-31.270034819783042,0.043846331836688845,8.935952929545627e+107
37,3,Patch 1,Env 1,lognormal,5,1.0486047143986565,,-18.749009929416776,-19.920696192114477,0.1766712202722983,1.2406291362809367e+123,1.0486047143986574,,-35.62858295542122,-36.80026921811892,0.3581593501865936,2.9619408477136104e+149
