,subject,patch_type,distribution,n_samples,raw_skewness,raw_skewness_p,raw_aic,raw_bic,raw_ks_p,raw_fitted_skewness,z_skewness,z_skewness_p,z_aic,z_bic,z_ks_p,z_fitted_skewness
0,1,Patch 3,normal,9,-0.07721805934600053,0.8932601744061124,67.5353963382622,67.92984549293465,0.6760713498337252,0.0,-0.0772180593459998,0.8932601744061135,24.70942634691494,25.103875501587382,0.6760713498337257,0.0
1,1,Patch 3,lognormal,9,-0.07721805934600053,0.8932601744061124,45.50079315962482,46.09246689163348,0.02816507106487487,3.318221031713542e+78,-0.0772180593459998,0.8932601744061135,26.719518649321486,27.311192381330144,0.6803363662839208,0.04366604633697565
2,1,Patch 3,gamma,9,-0.07721805934600053,0.8932601744061124,69.54837603632973,70.1400497683384,0.6844071025625665,0.06183379120718807,-0.0772180593459998,0.8932601744061135,26.7228654160277,27.31453914803636,0.6870067598715137,0.06426116619177326
3,1,Patch 2,normal,8,-0.5479770865939205,0.35788267427500486,51.063556410950646,51.222439494310315,0.7601808601861193,0.0,-0.5479770865939212,0.35788267427500453,12.996027529753086,13.154910613112758,0.7601808601861197,0.0
4,1,Patch 2,lognormal,8,-0.5479770865939205,0.35788267427500486,33.27459366331972,33.512918288359224,0.019601616246244947,1.0882924996706663e+90,-0.5479770865939212,0.35788267427500453,15.007914680182473,15.24623930522198,0.7521236882418981,0.007846620787470504
5,1,Patch 2,gamma,8,-0.5479770865939205,0.35788267427500486,53.246783085713986,53.485107710753496,0.7402539001748234,0.12137591778209317,-0.5479770865939212,0.35788267427500453,15.205239012410303,15.44356363744981,0.7365717246570913,0.1374121139822672
6,1,Patch 1,normal,10,1.0977281278195294,0.05959285148917484,65.99728757996634,66.60245776595443,0.7432505563686214,0.0,1.0977281278195297,0.05959285148917484,18.412876478469386,19.01804666445748,0.7432505563686211,0.0
7,1,Patch 1,lognormal,10,1.0977281278195294,0.05959285148917484,42.469794164808334,43.37754944379047,0.016511013087001647,3.3676577454308024e+71,1.0977281278195297,0.05959285148917484,16.219548199733346,17.127303478715483,0.7827922893410707,4.142601690834729
8,1,Patch 1,gamma,10,1.0977281278195294,0.05959285148917484,41.77998112222348,42.68773640120562,0.38226491743697244,2.4639325526826976,1.0977281278195297,0.05959285148917484,3.782715360074844,4.690470639056982,0.3527817766431627,2.20728018243932
9,2,Patch 3,normal,24,0.09164815029880727,0.8257655938903168,128.5138710988475,130.8699787595434,0.8325316175728489,0.0,0.09164815029880818,0.8257655938903155,69.36407698304029,71.72018464373619,0.8325316175728493,0.0
10,2,Patch 3,lognormal,24,0.09164815029880727,0.8257655938903168,130.43305367348904,133.9672151645329,0.8145573368209468,0.2219755169283781,0.09164815029880818,0.8257655938903155,71.28325955768369,74.81742104872752,0.8145571250126235,0.22197514963340406
11,2,Patch 3,gamma,24,0.09164815029880727,0.8257655938903168,130.4378534913463,133.97201498239014,0.8238656696493201,0.12979759900978138,0.09164815029880818,0.8257655938903155,71.2911666560488,74.82532814709263,0.8221182916749831,0.12273885955438951
12,2,Patch 2,normal,22,0.3318827534541887,0.44514006363812697,100.25054323079517,102.43262813751181,0.3467705015201178,0.0,0.33188275345419027,0.4451400636381253,46.02989862463861,48.211983531355244,0.3467705015201189,0.0
13,2,Patch 2,lognormal,22,0.3318827534541887,0.44514006363812697,101.22826452918693,104.50139188926188,0.7092912922433192,0.7888249410366482,0.33188275345419027,0.4451400636381253,47.007619923256954,50.280747283331905,0.7092834551099654,0.7888275252320605
14,2,Patch 2,gamma,22,0.3318827534541887,0.44514006363812697,101.010828347955,104.28395570802995,0.7400173807096393,0.7906451744476803,0.33188275345419027,0.4451400636381253,46.79018374178022,50.06331110185516,0.7400166148277738,0.7906428212580177
15,2,Patch 1,normal,24,-0.42113170681905954,0.32080479827832775,103.92986166332588,106.28596932402178,0.8967827418946718,0.0,-0.42113170681905976,0.3208047982783274,44.780067547518684,47.136175208214574,0.8967827418946723,0.0
16,2,Patch 1,lognormal,24,-0.42113170681905954,0.32080479827832775,105.92986400503932,109.46402549608315,0.8967824666792632,6.939846886512772e-07,-0.42113170681905976,0.3208047982783274,46.81344474933607,50.34760624037991,0.8957965567139428,0.00980527676992623
17,2,Patch 1,gamma,24,-0.42113170681905954,0.32080479827832775,106.3653681532214,109.89952964426523,0.8244189770706409,0.11656266659410067,-0.42113170681905976,0.3208047982783274,47.201930257950636,50.736091748994475,0.8550607059366803,0.11348105099489773
18,3,Patch 3,normal,19,0.628806797938084,0.18040877901544705,117.48288894276226,119.37176690109514,0.7772414339111156,0.0,0.6288067979380823,0.18040877901544827,54.79454814572675,56.683426104059635,0.7772414339111139,0.0
19,3,Patch 3,lognormal,19,0.628806797938084,0.18040877901544705,116.35952637439323,119.19284331189255,0.9710646689443483,1.7221329407837227,0.6288067979380823,0.18040877901544827,53.67118558031191,56.504502517811225,0.9710661461440693,1.7220822479480709
20,3,Patch 3,gamma,19,0.628806797938084,0.18040877901544705,99.10497221150561,101.93828914900493,0.018908910029737047,2.421256723013437,0.6288067979380823,0.18040877901544827,48.994828163020344,51.82814510051966,0.4178792349072352,2.049768466233037
21,3,Patch 2,normal,14,-0.27276903575597267,0.5898503324921704,82.54719955146275,83.82531421069326,0.4676173784760447,0.0,-0.272769035755971,0.5898503324921729,36.355790543120804,37.63390520235132,0.46761737847604334,0.0
